"","state","state_po","state_fips","county_fips","county_name","swingrep","swingages_20_29","swingages_30_44","swingages_45_64","swingages_65_plus","swingmale","swingwhite","swingturnout","unemp","urbanrural","swingincome","swingeduc"
"2238","PENNSYLVANIA","PA",42,45,"delaware",-0.0163672481351376,-0.001569801872916,-0.000319885306093393,-0.00722091424409088,0.00911060142310027,0.00384524544521186,-0.020433970413606,0.0129252157028561,0.0564489795918367,1,0.125567006396022,0.0855407571575037
"2239","PENNSYLVANIA","PA",42,47,"elk",0.12240732103806,0.00673478311556444,-0.0229834231460465,-0.000703736319459802,0.0169523763499418,0.00664618284977753,-0.00339466872434513,0.0516755467543706,0.0562244897959184,0,0.0873724326674681,0.0904079977207086
"2240","PENNSYLVANIA","PA",42,49,"erie",0.0723866778225882,-0.00845249031977149,-0.00423856272281428,-0.00606341654677378,0.0187544695893596,0.00444356121173367,-0.0059337862419081,0.0263238377505449,0.0641632653061224,1,0.0701805474665114,0.110966481782698
"2241","PENNSYLVANIA","PA",42,51,"fayette",0.106933102007927,0.00398660615521565,-0.0127681176076085,-0.00842058557154085,0.0172020970239337,0.00597280714930298,-0.00393667574985224,0.0572110591656922,0.0829591836734694,1,0.0809210898997338,0.166917967442338
"2242","PENNSYLVANIA","PA",42,53,"forest",0.102774543190626,0.00842879367473409,-0.00100685575713819,-0.0103777813919345,0.00295584347433858,0.0175555241760804,-0.0231362530008801,0.00774586179300246,0.0847551020408163,0,0.0777689322320629,0.13100844594402
"2243","PENNSYLVANIA","PA",42,55,"franklin",0.0278965708015069,-0.00200328131131686,-0.0123179186126819,0.000153114512404962,0.0141680854115938,0.00405669298433342,-0.00481873816208145,0.0421020348552912,0.0557551020408163,1,0.0941228457799381,0.0957686363897328
"2244","PENNSYLVANIA","PA",42,57,"fulton",0.0638610110129977,0.000935434836395882,-0.025097564394018,0.0036387420581091,0.020523387499513,0.00270583709061023,-0.00510268231879685,0.043118120970235,0.0726530612244898,0,0.103888649734539,0.223303571970061
"2245","PENNSYLVANIA","PA",42,59,"greene",0.105525598260178,0.000261488334761362,-0.0107060304687083,-0.0102298856399388,0.0206744277738857,0.00632607798747231,-0.00333242259690503,0.0548448292341045,0.0662448979591837,0,0.0130076912697342,0.201879388687031
"2246","PENNSYLVANIA","PA",42,61,"huntingdon",0.0563918952671393,-0.00146776980289079,-0.0139267193504315,-0.00771573039652401,0.0231102195498464,0.00525965073951506,-0.00371691817764674,0.0617489786775379,0.0797755102040816,0,0.095389507154213,0.161410226219705
"2247","PENNSYLVANIA","PA",42,63,"indiana",0.073681953249836,-0.0141054080335707,-0.0032998472403947,-0.00533031514233284,0.0227355704162982,0.00177512078840047,0.000184867939938438,0.0382614623571138,0.0685510204081633,0,0.0670242884815974,0.120025711899094
