"","state","county_name","rep_county2012","rep_county2016","swingrep","state_po","unemp"
"989","KANSAS","sheridan",0.859910581222057,0.87117903930131,0.0112684580792534,"KS",0.0249183673469388
"990","KANSAS","sherman",0.753335874952345,0.799770290964778,0.0464344160124333,"KS",0.0335918367346939
"991","KANSAS","smith",0.802768166089965,0.813418217433888,0.0106500513439229,"KS",0.0343673469387755
"992","KANSAS","stafford",0.753126699293094,0.785864978902954,0.0327382796098595,"KS",0.0397959183673469
"993","KANSAS","stanton",0.797101449275362,0.772370486656201,-0.0247309626191614,"KS",0.0323061224489796
"994","KANSAS","stevens",0.859882005899705,0.845584346906399,-0.0142976589933063,"KS",0.0341632653061225
"995","KANSAS","sumner",0.684826605404223,0.718370705616128,0.0335441002119057,"KS",0.0481020408163265
"996","KANSAS","thomas",0.802533103051238,0.813199105145414,0.010666002094176,"KS",0.0295102040816327
"997","KANSAS","trego",0.798606713109563,0.827935222672065,0.0293285095625018,"KS",0.0357551020408163
"998","KANSAS","wabaunsee",0.690541781450872,0.701775147928994,0.0112333664781218,"KS",0.0418367346938776
"999","KANSAS","wallace",0.901002506265664,0.903508771929825,0.00250626566416046,"KS",0.0283265306122449
"1000","KANSAS","washington",0.801661474558671,0.793490054249548,-0.00817142030912299,"KS",0.0334081632653061
"1001","KANSAS","wichita",0.831813576494428,0.80439330543933,-0.027420271055097,"KS",0.0300204081632653
"1002","KANSAS","wilson",0.760021522733387,0.776385407964355,0.0163638852309681,"KS",0.0717551020408163
"1003","KANSAS","woodson",0.715272978576365,0.74982674982675,0.0345537712503849,"KS",0.0556938775510204
"1004","KANSAS","wyandotte",0.305412117150853,0.324019597794223,0.0186074806433698,"KS",0.0664081632653061
"1005","KENTUCKY","adair",0.768552631578947,0.806145997813677,0.0375933662347293,"KY",0.081265306122449
"1006","KENTUCKY","allen",0.730140845070423,0.798666007905138,0.0685251628347158,"KY",0.0569591836734694
"1007","KENTUCKY","anderson",0.661046511627907,0.721589914200665,0.0605434025727585,"KY",0.0497959183673469
"1008","KENTUCKY","ballard",0.679589216944801,0.770787612777371,0.0911983958325704,"KY",0.0816734693877551
"1009","KENTUCKY","barren",0.659222597778851,0.729283859800952,0.0700612620221012,"KY",0.0598775510204082
"1010","KENTUCKY","bath",0.551916545366327,0.671898844560715,0.119982299194388,"KY",0.0857959183673469
"1011","KENTUCKY","bell",0.751634676228644,0.798929820950813,0.0472951447221691,"KY",0.102857142857143
"1012","KENTUCKY","boone",0.684085239283198,0.678294977264049,-0.00579026201914834,"KY",0.0496122448979592
"1013","KENTUCKY","bourbon",0.59219992427111,0.632625241394979,0.0404253171238695,"KY",0.0554285714285714
"1014","KENTUCKY","boyd",0.571368575778256,0.664466607998435,0.0930980322201794,"KY",0.079530612244898
"1015","KENTUCKY","boyle",0.62256526307282,0.621041248262011,-0.00152401481080844,"KY",0.066
"1016","KENTUCKY","bracken",0.627784653465347,0.768641905301956,0.14085725183661,"KY",0.0751224489795918
"1017","KENTUCKY","breathitt",0.662539936102236,0.695538515162077,0.032998579059841,"KY",0.115673469387755
"1018","KENTUCKY","breckinridge",0.630568452754423,0.739001595623433,0.108433142869009,"KY",0.072265306122449
"1019","KENTUCKY","bullitt",0.6704427452091,0.726662785217222,0.0562200400081222,"KY",0.0552244897959184
"1020","KENTUCKY","butler",0.734387351778656,0.794117647058823,0.0597302952801674,"KY",0.0701836734693878
"1021","KENTUCKY","caldwell",0.666211604095563,0.754309623430962,0.0880980193353992,"KY",0.064530612244898
"1022","KENTUCKY","calloway",0.626326963906582,0.645959249797495,0.0196322858909135,"KY",0.055734693877551
"1023","KENTUCKY","campbell",0.603330263583642,0.589273112208892,-0.0140571513747504,"KY",0.0495918367346939
"1024","KENTUCKY","carlisle",0.700649102710958,0.805074971164937,0.104425868453978,"KY",0.0633469387755102
"1025","KENTUCKY","carroll",0.54320652173913,0.671335927367056,0.128129405627925,"KY",0.0678979591836735
"1026","KENTUCKY","carter",0.592613381230355,0.738178633975482,0.145565252745127,"KY",0.109448979591837
"1027","KENTUCKY","casey",0.805122311607289,0.851374437024383,0.0462521254170932,"KY",0.0654285714285714
"1028","KENTUCKY","christian",0.613755408790708,0.638862473395825,0.0251070646051166,"KY",0.0739795918367347
"1029","KENTUCKY","clark",0.644200830306175,0.660907127429806,0.0167062971236303,"KY",0.0594897959183673
"1030","KENTUCKY","clay",0.836516321278613,0.866114969705926,0.0295986484273127,"KY",0.113551020408163
"1031","KENTUCKY","clinton",0.81242886410198,0.85365307037203,0.0412242062700501,"KY",0.0885510204081633
"1032","KENTUCKY","crittenden",0.736637259989621,0.814961605152341,0.0783243451627197,"KY",0.0607959183673469
"1033","KENTUCKY","cumberland",0.77645409950946,0.816046966731898,0.0395928672224378,"KY",0.0754897959183673
"1034","KENTUCKY","daviess",0.596193598973555,0.631060754906455,0.0348671559329006,"KY",0.0541020408163265
"1035","KENTUCKY","edmonson",0.692373607540703,0.788520213577422,0.0961466060367192,"KY",0.0791224489795918
"1036","KENTUCKY","elliott",0.469362234264277,0.700525394045534,0.231163159781257,"KY",0.118816326530612
"1037","KENTUCKY","estill",0.723186728395062,0.763931469792606,0.0407447413975442,"KY",0.0738367346938776
"1038","KENTUCKY","fayette",0.483013681216532,0.41737152917874,-0.0656421520377914,"KY",0.0451632653061224
"1039","KENTUCKY","fleming",0.653753026634383,0.754313099041534,0.100560072407151,"KY",0.0744897959183674
"1040","KENTUCKY","floyd",0.657085292142377,0.72509068923821,0.068005397095833,"KY",0.11069387755102
"1041","KENTUCKY","franklin",0.486137892616875,0.495244081290593,0.00910618867371843,"KY",0.0506938775510204
"1042","KENTUCKY","fulton",0.574365175332527,0.650293870696893,0.0759286953643662,"KY",0.0845714285714286
"1043","KENTUCKY","gallatin",0.574322116955243,0.731875374475734,0.157553257520491,"KY",0.066530612244898
"1044","KENTUCKY","garrard",0.750317931326833,0.774498229043684,0.0241802977168502,"KY",0.0623061224489796
"1045","KENTUCKY","grant",0.657992565055762,0.760330578512397,0.102338013456635,"KY",0.0631224489795918
